Compound,Date,Negative,Neutral,Positive,Screen_Name
0.8957,Fri Aug 10 22:28:55 +0000 2018,0.581,0.0,0.419,CBS
0.0,Fri Aug 10 19:59:14 +0000 2018,1.0,0.0,0.0,CBS
0.6696,Thu Aug 09 21:00:00 +0000 2018,0.745,0.0,0.255,CBS
0.0,Tue Sep 04 17:44:58 +0000 2018,1.0,0.0,0.0,fox
0.0,Mon Sep 03 23:11:00 +0000 2018,1.0,0.0,0.0,fox
0.7951,Mon Sep 03 22:37:42 +0000 2018,0.772,0.0,0.228,fox
0.296,Thu Aug 30 00:10:58 +0000 2018,0.796,0.075,0.128,fox
0.7258,Fri Aug 24 00:29:24 +0000 2018,0.655,0.08,0.265,fox
0.7717,Wed Aug 22 03:39:28 +0000 2018,0.739,0.0,0.261,fox
0.2732,Tue Aug 21 23:51:22 +0000 2018,0.905,0.0,0.095,fox
-0.204,Mon Aug 20 23:03:43 +0000 2018,0.619,0.233,0.147,fox
0.7717,Mon Aug 20 00:00:09 +0000 2018,0.717,0.0,0.283,fox
-0.6072,Thu Aug 09 04:56:06 +0000 2018,0.811,0.189,0.0,fox
-0.1027,Wed Aug 08 02:12:41 +0000 2018,0.677,0.172,0.151,fox
0.128,Wed Aug 08 02:10:53 +0000 2018,0.909,0.0,0.091,fox
-0.1945,Wed Aug 08 02:08:41 +0000 2018,0.728,0.153,0.118,fox
0.8316,Wed Aug 08 02:07:07 +0000 2018,0.596,0.0,0.404,fox
0.5267,Wed Aug 08 01:59:38 +0000 2018,0.833,0.0,0.167,fox
0.7717,Wed Aug 08 01:57:04 +0000 2018,0.676,0.0,0.324,fox
0.5719,Wed Aug 08 01:54:45 +0000 2018,0.812,0.0,0.188,fox
0.9201,Wed Aug 08 01:50:21 +0000 2018,0.536,0.0,0.464,fox
0.0,Wed Aug 08 01:48:16 +0000 2018,1.0,0.0,0.0,fox
0.4019,Tue Aug 07 23:32:22 +0000 2018,0.847,0.0,0.153,fox
-0.7845,Tue Sep 04 19:40:10 +0000 2018,0.699,0.301,0.0,CNN
0.4404,Tue Sep 04 19:32:05 +0000 2018,0.822,0.0,0.178,CNN
0.1531,Tue Sep 04 19:28:28 +0000 2018,0.867,0.0,0.133,CNN
-0.7906,Tue Sep 04 19:25:09 +0000 2018,0.682,0.318,0.0,CNN
-0.6124,Tue Sep 04 19:20:30 +0000 2018,0.833,0.167,0.0,CNN
0.0258,Tue Sep 04 19:10:05 +0000 2018,0.766,0.115,0.119,CNN
